word1	word2	POS	SimLex999	conc(w1)	conc(w2)	concQ	Assoc(USF)	SimAssoc333	SD(SimLex)
deserve	earn	V	5.8	1.69	2.39	1	0.23	0	0.62
get	put	V	1.98	2.38	2.5	1	0.22	0	1.33
locate	find	V	8.73	2.97	2.63	2	0.22	0	1.54
appear	attend	V	6.28	3.13	3.17	2	0.22	0	1.47
know	comprehend	V	7.63	1.68	1.86	1	0.21	0	1.39
pretend	imagine	V	8.47	2.11	1.53	1	0.21	0	1.63
satisfy	please	V	7.67	2.04	1.64	1	0.21	0	1.74
cherish	keep	V	4.85	1.73	2.37	1	0.21	0	1.78
argue	differ	V	5.15	2.75	1.59	1	0.21	0	1.22
overcome	dominate	V	6.25	2.28	2.12	1	0.21	0	1.58
behave	obey	V	7.3	1.78	2.67	1	0.21	0	1.24
cooperate	participate	V	6.43	1.87	2.59	1	0.21	0	1.5
achieve	try	V	4.42	2.29	2.22	1	0.21	0	1.14
fail	discourage	V	3.33	3	1.9	1	0.21	0	1.2
begin	quit	V	1.28	2.56	2.56	1	0.21	0	1.53
say	participate	V	3.82	2.58	2.59	1	0.21	0	1.3
come	bring	V	2.42	2.72	2.55	2	0.21	0	1.03
declare	announce	V	9.08	2	3.31	2	0.21	0	1.56
read	comprehend	V	4.7	3.56	1.86	2	0.21	0	1.75
take	leave	V	2.47	3.06	2.53	2	0.21	0	0.8
proclaim	announce	V	8.18	2.36	3.31	2	0.21	0	1.58
acquire	obtain	V	8.57	2.93	3	2	0.21	0	1.96
conclude	decide	V	7.75	1.78	1.92	1	0.2	0	1.17
please	plead	V	2.98	1.64	2.59	1	0.2	0	1.18
argue	prove	V	4.83	2.75	1.83	1	0.2	0	0.62
ask	plead	V	6.47	2.52	2.59	1	0.2	0	1.62
find	disappear	V	0.77	2.63	2.86	2	0.2	0	1.04
inspect	examine	V	8.75	3.31	2.86	2	0.2	0	1.39
verify	justify	V	4.08	2.1	1.45	1	0.17	0	1.11
assume	predict	V	4.85	1.75	2	1	0.17	0	1.02
learn	evaluate	V	4.17	2.2	1.85	1	0.17	0	0.88
argue	justify	V	5	2.75	1.45	1	0.17	0	1.13
make	become	V	4.77	2.67	1.54	1	0.17	0	0.82
discover	originate	V	4.83	2.37	2.23	1	0.17	0	1.33
achieve	succeed	V	7.5	2.29	2.33	1	0.17	0	1.29
give	put	V	3.65	2.83	2.5	2	0.17	0	1.47
understand	listen	V	4.68	2.28	3.47	2	0.17	0	1.66
expand	grow	V	8.27	3.36	3.03	2	0.17	0	1.28
borrow	sell	V	1.73	3.1	3.35	2	0.17	0	1.21
keep	protect	V	5.4	2.37	2.86	2	0.15	0	1.26
explain	prove	V	4.1	1.97	1.83	1	0.14	0	1.29
assume	pretend	V	3.72	1.75	2.11	1	0.14	0	1.15
agree	please	V	4.13	2.31	1.64	1	0.14	0	1.7
forgive	forget	V	3.92	1.92	2.04	1	0.14	0	1.5
clarify	explain	V	8.33	2.07	1.97	1	0.14	0	1.74
understand	forgive	V	4.87	2.28	1.92	1	0.14	0	1.32
remind	forget	V	0.87	2.19	2.04	1	0.14	0	1.56
get	remain	V	1.6	2.38	1.96	1	0.14	0	1.68
realize	discover	V	7.47	2.03	2.37	1	0.14	0	0.59
require	inquire	V	1.82	2.07	2.38	1	0.14	0	1.06
ignore	ask	V	1.07	2.22	2.52	1	0.14	0	1.27
think	inquire	V	4.77	2.41	2.38	1	0.14	0	1.23
reject	avoid	V	4.78	2.4	2.41	1	0.14	0	1.36
argue	persuade	V	6.23	2.75	2.07	1	0.14	0	1.7
pursue	persuade	V	3.17	2.83	2.07	1	0.14	0	1.39
accept	forgive	V	3.73	3.03	1.92	1	0.14	0	1.75
do	quit	V	1.17	2.46	2.56	1	0.14	0	1.81
investigate	examine	V	8.1	2.27	2.86	1	0.14	0	1.31
discuss	explain	V	6.67	3.17	1.97	1	0.14	0	1.53
owe	lend	V	2.32	2.07	3.07	1	0.14	0	0.82
explore	discover	V	8.48	2.9	2.37	2	0.14	0	1.33
complain	argue	V	4.8	2.6	2.75	2	0.14	0	0.9
withdraw	reject	V	6.38	3.04	2.4	2	0.14	0	1.97
keep	borrow	V	2.25	2.37	3.1	2	0.14	0	1.29
beg	ask	V	6	2.96	2.52	2	0.14	0	1.58
arrange	organize	V	8.27	2.79	2.72	2	0.14	0	1.1
reduce	shrink	V	8.02	2	3.55	2	0.14	0	1.82
speak	acknowledge	V	4.67	3.7	2.03	2	0.14	0	1.47
give	borrow	V	2.22	2.83	3.1	2	0.14	0	1.63
kill	defend	V	2.63	3.9	2.31	2	0.14	0	0.85
disappear	shrink	V	5.8	2.86	3.55	2	0.14	0	1
deliver	carry	V	3.88	3.12	4.04	2	0.14	0	1.44
breathe	choke	V	1.37	4.07	3.97	3	0.14	0	2.02
acknowledge	notify	V	5.3	2.03	3.04	1	0.13	0	0.62
become	seem	V	2.63	1.54	1.75	1	0.11	0	1.79
pretend	seem	V	4.68	2.11	1.75	1	0.11	0	1.63
accomplish	become	V	4	2.33	1.54	1	0.11	0	0.85
contemplate	think	V	8.82	1.71	2.41	1	0.11	0	1.59
determine	predict	V	5.8	2.13	2	1	0.11	0	1.37
please	entertain	V	5	1.64	2.55	1	0.11	0	0.71
remain	retain	V	5.75	1.96	2.32	1	0.11	0	1.12
pretend	portray	V	7.03	2.11	2.18	1	0.11	0	1.64
forget	retain	V	0.63	2.04	2.32	1	0.11	0	1.68
want	choose	V	4.78	1.93	2.62	1	0.11	0	1.56
lose	get	V	0.77	2.25	2.38	1	0.11	0	1.33
try	think	V	2.62	2.22	2.41	1	0.11	0	1.45
become	appear	V	4.77	1.54	3.13	1	0.11	0	1.51
leave	ignore	V	4.42	2.53	2.22	1	0.11	0	1.33
accept	recommend	V	2.75	3.03	1.74	1	0.11	0	1.01
leave	wander	V	3.57	2.53	2.28	1	0.11	0	1.33
keep	give	V	1.05	2.37	2.83	2	0.11	0	1.03
give	allow	V	5.15	2.83	2.41	2	0.11	0	1.32
bring	send	V	2.97	2.55	2.7	2	0.11	0	0.88
absorb	learn	V	5.48	3.11	2.2	2	0.11	0	1.16
acquire	find	V	6.38	2.93	2.63	2	0.11	0	1.74
leave	appear	V	0.97	2.53	3.13	2	0.11	0	1.45
create	destroy	V	0.63	2.62	3.08	2	0.11	0	1.1
begin	go	V	7.42	2.56	3.15	2	0.11	0	1.24
get	buy	V	5.08	2.38	3.35	2	0.11	0	1.02
collect	save	V	6.67	3.34	2.42	2	0.11	0	0.44
replace	restore	V	5.73	3	2.79	2	0.11	0	1.08
join	add	V	8.1	2.86	3	2	0.11	0	0.88
join	marry	V	5.35	2.86	3.03	2	0.11	0	1.41
accept	deliver	V	1.58	3.03	3.12	2	0.11	0	1.37
attach	join	V	7.75	3.33	2.86	2	0.11	0	0.94
put	hang	V	3	2.5	3.7	2	0.11	0	1.49
go	sell	V	0.97	3.15	3.35	2	0.11	0	0.9
communicate	pray	V	3.55	3.43	3.21	2	0.11	0	1.38
give	steal	V	0.5	2.83	3.84	2	0.11	0	0.62
add	build	V	4.92	3	3.71	2	0.11	0	1.1
bring	restore	V	2.62	2.55	2.79	2	0.1	0	0.74
comprehend	satisfy	V	2.55	1.86	2.04	1	0	0	1
portray	decide	V	1.18	2.18	1.92	1	0	0	1.37
organize	become	V	1.77	2.72	1.54	1	0	0	1.86
give	know	V	0.88	2.83	1.68	1	0	0	1.12
say	verify	V	4.9	2.58	2.1	1	0	0	0.65
cooperate	join	V	5.18	1.87	2.86	1	0	0	0.36
arrange	require	V	0.98	2.79	2.07	1	0	0	1.72
borrow	want	V	1.77	3.1	1.93	1	0	0	1.22
investigate	pursue	V	7.15	2.27	2.83	1	0	0	0.56
ignore	explore	V	0.4	2.22	2.9	1	0	0	1.19
bring	complain	V	0.98	2.55	2.6	1	0	0	1.57
enter	owe	V	0.68	3.12	2.07	1	0	0	1.67
portray	notify	V	0.78	2.18	3.04	2	0	0	1.17
remind	sell	V	0.4	2.19	3.35	2	0	0	1.61
absorb	possess	V	5	3.11	2.6	2	0	0	1.15
join	acquire	V	2.85	2.86	2.93	2	0	0	0.99
send	attend	V	1.67	2.7	3.17	2	0	0	1.44
gather	attend	V	4.8	2.75	3.17	2	0	0	1.97
absorb	withdraw	V	2.97	3.11	3.04	2	0	0	1.75
attend	arrive	V	6.08	3.17	3.22	2	0	0	1.18
